air.id,traffic.id,distance
4,4269,976.070764060349
4,3747,981.323168234167
4,4301,988.266188080348
4,4260,1009.89554370694
4,10057,1038.54061332577
4,4423,1041.29213873719
4,4400,1044.10563362265
4,4259,1045.11737053346
4,4262,1047.53534320866
4,4304,1054.88045193142
4,10023,1063.08500171463
4,1047,1064.2293107096
4,4324,1068.33913176328
4,1044,1077.28264406577
4,1046,1088.93688015217
4,1045,1103.42124773176
4,3651,1103.76555730031
4,4713,1108.90659169795
4,4363,1109.76032175178
4,10271,1112.89444835703
4,4418,1113.54940246316
4,3731,1115.76409690292
4,10022,1117.06925573626
4,3745,1121.05585164827
4,1015,1124.60279674425
4,3746,1130.63675685418
4,1016,1135.1889743846
4,4478,1140.00203795631
4,4330,1140.67607534263
4,3694,1145.93207399701
4,4361,1149.12328394
4,4303,1151.34711631107
4,10066,1151.67042174297
4,4716,1152.00104066687
4,4714,1161.14025963719
4,3807,1164.97561755471
4,5117,1169.0015752578
4,1012,1175.54651428416
4,4715,1179.18370947855
4,4342,1184.32769674901
4,6836,1192.87151398373
4,6827,1208.99123868568
4,4341,1211.88143821389
4,1013,1215.92035605834
4,4717,1226.27246785679
4,4425,1231.63379842984
4,1014,1234.11344502047
4,4376,1242.35778421213
4,4410,1250.05067988218
4,6833,1262.25320666811
4,3619,1263.72464387455
4,4408,1265.36256121086
4,3401,1274.63388781079
4,6835,1280.96477287809
4,4329,1293.53080072176
4,4479,1293.6812738593
4,4381,1293.82426837883
4,4305,1298.4639871429
4,4417,1299.59318452539
4,4325,1320.56472947875
4,4359,1320.93990304289
4,4358,1321.83969450095
4,4362,1328.58667597049
4,4310,1333.98806541983
4,5116,1339.65918131788
4,4406,1342.12731641575
4,4360,1343.89937375005
4,4339,1344.66196049783
4,7102,1345.84743215476
4,4328,1346.01243504443
4,1042,1349.47337105
4,1011,1349.90756037507
4,4331,1350.3820305737
4,3618,1351.21680534501
4,4338,1360.68468837376
4,3437,1361.2008117897
4,4707,1373.19547461631
4,4407,1377.3994304514
4,4709,1378.15905963258
4,4379,1378.95708452439
4,4416,1380.10831704983
4,4708,1388.04706601195
4,6837,1390.89013154132
4,4356,1392.34984155849
4,1018,1401.81968659426
